FECHA,Symbol,rv5_ss,bv,rv10,bv_ss,rv5,rk_parzen,rk_th2,open_time,close_time,open_to_close,rsv_ss,rk_twoscale,rsv,close_price,rv10_ss,medrv,open_price,nobs,Retornos
2010-03-24,.N225,3.33E-05,1.81E-05,3.46E-05,1.81E-05,0.00333%,4.72E-05,3.25E-05,90015,150002,-0.001324131,1.86E-05,3.10E-05,1.86E-05,10815.03,3.46E-05,4.57E-06,10829.36,2156,0.003787087
2010-03-25,.N225,2.27E-05,1.54E-05,2.33E-05,1.54E-05,0.00227%,1.38E-05,1.93E-05,90015,150001,-0.002670768,1.48E-05,1.87E-05,1.48E-05,10828.85,2.33E-05,2.97E-06,10857.81,2157,0.001277036
2010-03-26,.N225,3.79E-05,2.61E-05,4.48E-05,2.61E-05,0.00379%,3.38E-05,3.29E-05,90015,150002,0.009234633,9.76E-06,3.27E-05,9.76E-06,10996.37,4.48E-05,4.21E-06,10895.29,2156,0.015351349
2010-03-29,.N225,2.79E-05,2.10E-05,2.70E-05,2.10E-05,0.00279%,2.34E-05,2.45E-05,100015,160001,0.006986549,1.03E-05,2.45E-05,1.03E-05,10986.47,2.70E-05,5.44E-06,10909.98,2156,-0.000900703
2010-03-30,.N225,2.75E-05,2.36E-05,2.59E-05,2.36E-05,0.00275%,2.03E-05,2.23E-05,100015,160002,0.006775997,1.38E-05,2.21E-05,1.38E-05,11097.14,2.59E-05,8.50E-06,11022.2,2157,0.010022902
2010-03-31,.N225,2.56E-05,3.12E-05,2.98E-05,3.12E-05,0.00256%,1.62E-05,2.27E-05,100015,160002,-0.004388936,1.65E-05,2.27E-05,1.65E-05,11089.94,2.98E-05,7.92E-06,11138.72,2156,-0.000649026
2010-04-01,.N225,3.96E-05,2.86E-05,4.54E-05,2.86E-05,0.00396%,4.29E-05,2.69E-05,100015,160002,0.005840365,1.31E-05,2.63E-05,1.31E-05,11244.4,4.54E-05,6.07E-06,11178.92,2156,0.013831836
2010-04-02,.N225,3.03E-05,2.72E-05,3.30E-05,2.72E-05,0.00303%,2.14E-05,1.97E-05,100015,160001,0.001055839,1.65E-05,1.90E-05,1.65E-05,11286.09,3.30E-05,1.45E-05,11274.18,2156,0.003700767
2010-04-05,.N225,2.65E-05,1.57E-05,1.68E-05,1.57E-05,0.00265%,1.95E-05,2.20E-05,100015,160002,-0.003638219,2.20E-05,2.19E-05,2.20E-05,11339.3,1.68E-05,5.35E-06,11380.63,2157,0.004703574
2010-04-06,.N225,3.97E-05,3.51E-05,5.06E-05,3.51E-05,0.00397%,6.07E-05,3.79E-05,100015,160001,-0.006042517,2.52E-05,3.68E-05,2.52E-05,11282.32,5.06E-05,1.01E-05,11350.7,2156,-0.005037669
