DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
14/01/2015,.OMXHPI,7708.22,-0.012370914,0,0,0,
15/01/2015,.OMXHPI,7786.76,0.010137564,0,0,0,
16/01/2015,.OMXHPI,7904.2,0.014969408,0,0,0,
19/01/2015,.OMXHPI,8051.55,0.018470356,0,0,0,
20/01/2015,.OMXHPI,8073.25,0.002691508,0,0,0,
21/01/2015,.OMXHPI,8160.27,0.010721129,0,0,0,
22/01/2015,.OMXHPI,8322.55,0.019691442,0,0,0,
23/01/2015,.OMXHPI,8512.43,0.02255875,0,0,0,
26/01/2015,.OMXHPI,8609.73,0.011365511,0,0,0,
27/01/2015,.OMXHPI,8465.73,-0.01686671,0,0,0,
28/01/2015,.OMXHPI,8569.67,0.012202976,0,0,0,
29/01/2015,.OMXHPI,8428.21,-0.016644813,0,0,0,
30/01/2015,.OMXHPI,8449.5,0.002522855,0,0,0,
2/2/2015,.OMXHPI,8380.36,-0.008216395,0,0,0,
3/2/2015,.OMXHPI,8491.22,0.013141815,0,0,0,
4/2/2015,.OMXHPI,8491.71,5.77E-05,0,0,0,
5/2/2015,.OMXHPI,8644.76,0.017862964,0,0,0,
6/2/2015,.OMXHPI,8642.82,-0.000224439,0,0,0,
9/2/2015,.OMXHPI,8520.5,-0.014253894,0,0,0,
10/2/2015,.OMXHPI,8571.68,0.005988722,0,0,0,
11/2/2015,.OMXHPI,8570.31,-0.000159841,0,0,0,
12/2/2015,.OMXHPI,8649,0.009139803,0,0,0,
13/02/2015,.OMXHPI,8705.29,0.00648718,0,0,0,
16/02/2015,.OMXHPI,8697.57,-0.000887211,0,0,0,
17/02/2015,.OMXHPI,8692.24,-0.000613003,0,0,0,
18/02/2015,.OMXHPI,8753.19,0.006987532,0,0,0,
19/02/2015,.OMXHPI,8756.13,0.000335821,0,0,0,
20/02/2015,.OMXHPI,8774.03,0.002042195,0,0,0,
23/02/2015,.OMXHPI,8820.91,0.005328817,0,0,0,
24/02/2015,.OMXHPI,8891.51,0.00797185,0,0,0,
25/02/2015,.OMXHPI,8885.83,-0.000639016,0,0,0,
26/02/2015,.OMXHPI,8909.09,0.002614231,0,0,0,
27/02/2015,.OMXHPI,8917.29,0.000919985,0,0,0,
2/3/2015,.OMXHPI,8936.45,0.00214633,0,0,0,
3/3/2015,.OMXHPI,8869.91,-0.007473769,0,0,0,
4/3/2015,.OMXHPI,8854.99,-0.001683508,0,0,0,
5/3/2015,.OMXHPI,8948.93,0.01055283,0,0,0,
6/3/2015,.OMXHPI,8989.21,0.004490997,0,0,0,
9/3/2015,.OMXHPI,8988.86,-3.89E-05,0,0,0,
10/3/2015,.OMXHPI,8945.56,-0.004828713,0,0,0,
11/3/2015,.OMXHPI,9078.82,0.014786908,0,0,0,
12/3/2015,.OMXHPI,9073.38,-0.000599376,0,0,0,
13/03/2015,.OMXHPI,9067.42,-0.000657082,0,0,0,
16/03/2015,.OMXHPI,9120.69,0.00585769,0,0,0,
17/03/2015,.OMXHPI,9097.21,-0.002577686,0,0,0,
18/03/2015,.OMXHPI,9135.04,0.004149795,0,0,0,
19/03/2015,.OMXHPI,9198.63,0.006936991,0,0,0,
20/03/2015,.OMXHPI,9245.57,0.005089958,0,0,0,
23/03/2015,.OMXHPI,9219.44,-0.00283022,0,0,0,
24/03/2015,.OMXHPI,9263.62,0.004780603,0,0,0,
25/03/2015,.OMXHPI,9201.71,-0.006705565,0,0,0,
26/03/2015,.OMXHPI,9078.35,-0.013496878,0,0,0,
27/03/2015,.OMXHPI,9019.73,-0.006478058,0,0,0,
30/03/2015,.OMXHPI,9108.23,0.009764,0,0,0,
31/03/2015,.OMXHPI,9014.67,-0.01032515,0,0,0,
1/4/2015,.OMXHPI,8987.98,-0.002965121,0,0,0,
2/4/2015,.OMXHPI,9010.34,0.002484678,0,0,0,
7/4/2015,.OMXHPI,9124.13,0.012549746,0,0,0,
8/4/2015,.OMXHPI,9134.47,0.001132617,0,0,0,
9/4/2015,.OMXHPI,9178.94,0.00485656,0,0,0,
10/4/2015,.OMXHPI,9316.32,0.014855971,0,0,0,
13/04/2015,.OMXHPI,9374.42,0.006217002,0,0,0,
14/04/2015,.OMXHPI,9320.25,-0.005795251,0,0,0,
15/04/2015,.OMXHPI,9325.44,0.000556697,0,0,0,
16/04/2015,.OMXHPI,9287.73,-0.004051975,0,0,0,
17/04/2015,.OMXHPI,9083.27,-0.022259914,0,0,0,
20/04/2015,.OMXHPI,9096.77,0.001485146,0,0,0,
21/04/2015,.OMXHPI,9227.42,0.014260081,0,0,0,
22/04/2015,.OMXHPI,9103.69,-0.01349966,0,0,0,
23/04/2015,.OMXHPI,8990.41,-0.012521372,0,0,0,
24/04/2015,.OMXHPI,9035.85,0.005041545,0,0,0,
27/04/2015,.OMXHPI,9060.8,0.002757418,0,0,0,
28/04/2015,.OMXHPI,8872.21,-0.021033497,0,0,0,
29/04/2015,.OMXHPI,8650.08,-0.02535535,0,0,0,
30/04/2015,.OMXHPI,8517.05,-0.015498533,0,0,0,
4/5/2015,.OMXHPI,8564.07,0.005505508,0,0,0,
5/5/2015,.OMXHPI,8380.12,-0.02171331,0,0,0,
6/5/2015,.OMXHPI,8347.97,-0.003843839,0,0,0,
7/5/2015,.OMXHPI,8426.8,0.009398708,0,0,0,
8/5/2015,.OMXHPI,8621.24,0.022811823,0,0,0,
11/5/2015,.OMXHPI,8614.39,-0.000794865,0,0,0,
12/5/2015,.OMXHPI,8480.31,-0.015687055,0,0,0,
13/05/2015,.OMXHPI,8545.97,0.007712821,0,0,0,
15/05/2015,.OMXHPI,8577.66,0.003701322,0,0,0,
18/05/2015,.OMXHPI,8549.23,-0.003319929,0,0,0,
19/05/2015,.OMXHPI,8714.25,0.019118396,0,0,0,
20/05/2015,.OMXHPI,8791.29,0.008801842,0,0,0,
21/05/2015,.OMXHPI,8849.61,0.006611932,0,0,0,
22/05/2015,.OMXHPI,8828.53,-0.002384867,0,0,0,
25/05/2015,.OMXHPI,8751.15,-0.008803403,0,0,0,
26/05/2015,.OMXHPI,8697.47,-0.006152942,0,0,0,
27/05/2015,.OMXHPI,8776.8,0.009079698,0,0,0,
28/05/2015,.OMXHPI,8722.74,-0.006178468,0,0,0,
29/05/2015,.OMXHPI,8610.91,-0.012903405,0,0,0,
1/6/2015,.OMXHPI,8642.55,0.003667674,0,0,0,
2/6/2015,.OMXHPI,8658.54,0.001848439,0,0,0,
3/6/2015,.OMXHPI,8665.41,0.000793122,0,0,0,
4/6/2015,.OMXHPI,8591.81,-0.008529815,0,0,0,
5/6/2015,.OMXHPI,8479.16,-0.013198036,0,0,0,
8/6/2015,.OMXHPI,8378.37,-0.011958003,0,0,0,
9/6/2015,.OMXHPI,8350.1,-0.00337987,0,0,0,
10/6/2015,.OMXHPI,8451.13,0.012026645,0,0,0,
11/6/2015,.OMXHPI,8491.32,0.004744305,0,0,0,
12/6/2015,.OMXHPI,8384.22,-0.012693098,0,0,0,
15/06/2015,.OMXHPI,8267.32,-0.014040974,0,0,0,
16/06/2015,.OMXHPI,8350.6,0.010022999,0,0,0,
17/06/2015,.OMXHPI,8275.07,-0.009086012,0,0,0,
18/06/2015,.OMXHPI,8326.09,0.006146578,0,0,0,
22/06/2015,.OMXHPI,8537.43,0.025066068,0,0,0,
23/06/2015,.OMXHPI,8608.59,0.008300516,0,0,0,
24/06/2015,.OMXHPI,8586.63,-0.0025542,0,0,0,
25/06/2015,.OMXHPI,8573.21,-0.001564117,0,0,0,
26/06/2015,.OMXHPI,8616.01,0.004979876,0,0,0,
29/06/2015,.OMXHPI,8398.87,-0.025524927,0,0,0,
30/06/2015,.OMXHPI,8308.36,-0.010834936,0,0,0,
1/7/2015,.OMXHPI,8374.43,0.007920779,0,0,0,
2/7/2015,.OMXHPI,8304.32,-0.008407154,0,0,0,
3/7/2015,.OMXHPI,8266.13,-0.004609418,0,0,0,
6/7/2015,.OMXHPI,8138.94,-0.015506493,0,0,0,
7/7/2015,.OMXHPI,7981.96,-0.019475955,0,0,0,
